id	title	link	price	description	condition	gtin	brand	mpn	image_link	product_type	availability	quantity	shipping	TVA	feature	online_only	manufacturer	expiration_date	shipping_weight	genre	featured_product	color	size	year	author	edition
740-757	 lait démaquillant apicosma [melvita] volume - 200 ml	http://www.lilibio.com/demaquillant/740-lait-demaquillant-apicosma.html	12.9	 Amande douce, pollen, riz -                         Peaux sensibles.	new				http://www.lilibio.com/img/p/740-888-large.jpg	Visage>Démaquillant	in stock	2	:::5.9			y	Melvita		0		n					
741-758	 crème démaquillante apicosma [melvita] volume - 200 ml	http://www.lilibio.com/demaquillant/741-creme-demaquillante-apicosma.html	12.9	 Gelée royale, argan, karité -                         Peaux très sèches ou pour les maquillages de spectacles.	new				http://www.lilibio.com/img/p/741-889-large.jpg	Visage>Démaquillant	in stock	5	:::5.9			y	Melvita		0		n					
742-759	 gelée démaquillante apicosma [melvita] volume - 200 ml	http://www.lilibio.com/demaquillant/742-gelee-demaquillante-apicosma.html	10.5	 Verveine, mélisse, orange -                         Rinçage à l'eau - Pour les peaux normales à mixtes.	new				http://www.lilibio.com/img/p/742-890-large.jpg	Visage>Démaquillant	in stock	5	:::5.9			y	Melvita		0		n					
880-966	 lait démaquillant réhydratant [jonzac] volume - 200 ml	http://www.lilibio.com/demaquillant/880-lait-demaquillant-rehydratant.html	8.9	Lait Démaquillant peaux désydratées et sensibles, à l'Eau Thermale Jonzac.	new				http://www.lilibio.com/img/p/880-1137-large.jpg	Visage>Démaquillant	in stock	4	:::5.9			y	Jonzac		0		n					
883-971	 eau micellaire à l'eau thermale de jonzac [jonzac] volume - 200 ml	http://www.lilibio.com/demaquillant/883-eau-micellaire-a-l-eau-thermale-de-jonzac.html	6.9	Nettoie, démaquille et apaise les peaux les plus sensibles.	new				http://www.lilibio.com/img/p/883-1142-large.jpg	Visage>Démaquillant	in stock	4	:::5.9			y	Jonzac		0		n					
883-972	 eau micellaire à l'eau thermale de jonzac [jonzac] volume - 400 ml	http://www.lilibio.com/demaquillant/883-eau-micellaire-a-l-eau-thermale-de-jonzac.html	10.5	Nettoie, démaquille et apaise les peaux les plus sensibles.	new				http://www.lilibio.com/img/p/883-1143-large.jpg	Visage>Démaquillant	in stock	3	:::5.9			y	Jonzac		0		n					
11-44	 lotion virginale [les douces angevines] volume - 125 ml	http://www.lilibio.com/tonique/11-virginale.html	20.9	Lotion tonique vivifiante aux 4 fleurs.	new				http://www.lilibio.com/img/p/11-51-large.jpg	Visage>Tonique et eau florale	in stock	3	:::5.9			y	Les douces angevines		0		n					
41-74	 rosée florale [cattier] volume - 200 ml	http://www.lilibio.com/tonique/41-rosee-florale.html	9.3	Pour un teint éclatant, une peau apaisée, fraîche et tonifiée…	new				http://www.lilibio.com/img/p/41-82-large.jpg	Visage>Tonique et eau florale	in stock	6	:::5.9			y	Cattier		0		n					
230-285	 lotion tonique douceur visage [florame] volume - 200 ml	http://www.lilibio.com/tonique/230-lotion-tonique-douceur-visage.html	14.9	Doux avec votre peau, il illumine votre teint.	new				http://www.lilibio.com/img/p/230-333-large.jpg	Visage>Tonique et eau florale	in stock	7	:::5.9			y	Florame		0		n					
467-508	 lotion tonique fraîcheur à l'hamamélis [weleda] volume - 200 ml	http://www.lilibio.com/tonique/467-lotion-tonique-fraicheur-a-l-hamamelis.html	12.9	Terminez le démaquillage par une caresse.	new				http://www.lilibio.com/img/p/467-587-large.jpg	Visage>Tonique et eau florale	in stock	4	:::5.9			y	Weleda		0		n					
