id;title;link;price;description;condition;ean;brand;mpn;image_link;product_type;availability;quantity;shipping;TVA;feature;online_only;manufacturer;expiration_date;shipping_weight;genre;featured_product;color;size;year;author;edition;google_product_category
642-684; lait démaquillant  [marilou bio] volume - 75 ml;http://www.lilibio.com/demaquillant/642-lait-demaquillant.html;3.9;Pour un démaquillage tout en douceur. Texture non grasse qui s'adapte à tous types de peau. Formulé à partir de beurre de karité, aloé vera et huile de jojoba.;new;3760143830601;Marilou bio;;http://www.lilibio.com/img/p/642-784-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Marilou bio;;0;;n;;;;;;
663-689; lait démaquillant confort   [melvita] volume - 200 ml;http://www.lilibio.com/demaquillant/663-lait-demaquillant.html;10.9; Confort intense pour toutes les peaux. L’action apaisante et adoucissante du miel et de l’amande douce conjuguée à celle de l’huile de périlla, en font un soin anti-allergisant et réparateur.;new;3284410014698;Melvita;;http://www.lilibio.com/img/p/663-807-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Melvita;;0;;n;;;;;;
663-690; lait démaquillant confort   [melvita] volume - 400 ml;http://www.lilibio.com/demaquillant/663-lait-demaquillant.html;14.9; Confort intense pour toutes les peaux. L’action apaisante et adoucissante du miel et de l’amande douce conjuguée à celle de l’huile de périlla, en font un soin anti-allergisant et réparateur.;new;3284410014681;Melvita;;http://www.lilibio.com/img/p/663-808-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Melvita;;0;;n;;;;;;
664-692; eau micellaire démaquillante   [melvita] volume - 400 ml;http://www.lilibio.com/demaquillant/664-eau-micellaire-demaquillante.html;15.9; Démaquille en douceur toutes les types de peaux. Subltil mélange d'hydrolats de ciste, d'hamamélis et de rose. Sans parfum, sans alcool.;new;3284410013097;Melvita;;http://www.lilibio.com/img/p/664-810-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Melvita;;0;;n;;;;;;
667-694; lotion démaquillante yeux sensibles   [melvita] volume - 100 ml;http://www.lilibio.com/demaquillant/667-lotion-demaquillante-yeux-sensibles.html;12.9;Lotion biphasique non grasse, démaquille tout et surtout tout en douceur. Le bleuet, la camomille et le lotus préserve les yeux sensibles. Formulée sans parfum et sans alcool.;new;3284410014186;Melvita;;http://www.lilibio.com/img/p/667-813-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Melvita;;0;;n;;;;;;
740-757; lait démaquillant apicosma   [melvita] volume - 200 ml;http://www.lilibio.com/demaquillant/740-lait-demaquillant-apicosma.html;12.9;Soin démaquillant fondant pour les peaux sensibles, sans parfum. Les vertus apaisantes du bisabolol de candeia, du pollen et du néroli combinées aux vertus adoucissantes de l’huile d’amande douce, du miel.;new;3284410014223;Melvita;;http://www.lilibio.com/img/p/740-888-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Melvita;;0;;n;;;;;;
741-758; crème démaquillante apicosma   [melvita] volume - 200 ml;http://www.lilibio.com/demaquillant/741-creme-demaquillante-apicosma.html;12.9; Pour les peaux très sèches et fragilisées un maquillage d'une grande douceur est nécessaire. Cette crème démaquillante vous apporte tout le confort avec l'action adoucissante du karité, de l'argan,de la rose et du miel.;new;3284410014193;Melvita;;http://www.lilibio.com/img/p/741-889-large.jpg;Visage>Démaquillant;in stock;4;:::5.9;;;y;Melvita;;0;;n;;;;;;
742-759; gelée démaquillante apicosma   [melvita] volume - 200 ml;http://www.lilibio.com/demaquillant/742-gelee-demaquillante-apicosma.html;10.5; Soin démaquillant des peaux normales à mixtes. Se rince à l'eau. L’action des eaux florales de verveine et de mélisse. du calcium et du manganèse pour éliminer en douceur impuretés et excès de sébum.;new;3284410014254;Melvita;;http://www.lilibio.com/img/p/742-890-large.jpg;Visage>Démaquillant;in stock;4;:::5.9;;;y;Melvita;;0;;n;;;;;;
880-966; lait démaquillant réhydratant visage et yeux [jonzac] volume - 200 ;http://www.lilibio.com/demaquillant/880-lait-demaquillant-rehydratant.html;8.9;Lait Démaquillant peaux désydratées et sensibles, à l'Eau Thermale Jonzac. Hypoallergénique et testé sous contrôle dermatologique.;new;3517360001457;Jonzac;;http://www.lilibio.com/img/p/880-1137-large.jpg;Visage>Démaquillant;in stock;7;:::5.9;;;y;Jonzac;;0;;n;;;;;;
883-972; eau micellaire démaquillante à l'eau thermale de jonzac   [jonzac] ;http://www.lilibio.com/demaquillant/883-eau-micellaire-a-l-eau-thermale-de-jonzac.html;10.5;Nettoie, démaquille et apaise les peaux les plus sensibles. Hypoallergénique.;new;3517360001990;Jonzac;;http://www.lilibio.com/img/p/883-1143-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Jonzac;;0;;n;;;;;;
985-1071;lait démaquillant douceur [plante system] volume - 125 ml;http://www.lilibio.com/demaquillant/985-lait-demaquillant-douceur-plante-system-.html;10.9;Le lait démaquillant Plante system est compatible visage et yeux. D'une extrême douceur avec son huile de Sésame et d'extrait de Babassu, il convient aux peaux sensibles.;new;3578830149499;Plante system;;http://www.lilibio.com/img/p/985-1269-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Plante system;;0;;n;;;;;;
11-44;virginale lotion vivifiante  [les douces angevines] volume - 125 ml;http://www.lilibio.com/tonique/11-virginale.html;20.9;Une explosion de 4 eaux florales dynamisante et illuminatrice. Ce tonique vous apporte l'éclat d'une rose, la douceur de la camomille et de la fleur d'oranger. Idéale pour parfaire le démaquillage après fantomette.;new;3555960000876;Les douces angevines;;http://www.lilibio.com/img/p/11-51-large.jpg;Visage>Tonique et eau florale;in stock;2;:::5.9;;;y;Les douces angevines;;0;;n;;;;;;
41-74;lotion de beauté apaisante rosée florale   [cattier] volume - 200 ml;http://www.lilibio.com/tonique/41-rosee-florale.html;10.5;Pour un teint éclatant, une peau apaisée, fraîche et tonifiée… Une véritable caresse avec les eaux florales de rose et de camomille.;new;3283950911498;Cattier;;http://www.lilibio.com/img/p/41-82-large.jpg;Visage>Tonique et eau florale;in stock;2;:::5.9;;;y;Cattier;;0;;n;;;;;;
166-219; lotion tonique douceur lift argan [natessance] volume - 200 ml;http://www.lilibio.com/tonique/166-lotion-tonique-douceur-lift-argan.html;10.9;La lotin tonique douceur Lift'Argan est Idéale pour parfaire le démaquillage, tout en douceur. Formulée à partir d'huile d'Argan biologique.;new;3517360000184;Natessance;;http://www.lilibio.com/img/p/166-265-large.jpg;Visage>Tonique et eau florale;in stock;4;:::5.9;;;y;Natessance;;0;;n;;;;;;
230-285; lotion tonique douceur dermastress [florame] volume - 200 ml;http://www.lilibio.com/tonique/230-lotion-tonique-douceur-visage.html;14.9;Doux avec votre peau, il illumine votre teint et termine le démaquillage parfaitement.Le   complexe  derma-stress riche en huiles essentielles et végétales,   protège  nourrit et combat contre les agressions exterieures et les   signes de  l'âge.;new;3516170016873;Florame;;http://www.lilibio.com/img/p/230-333-large.jpg;Visage>Tonique et eau florale;in stock;5;:::5.9;;;y;Florame;;0;;n;;;;;;
467-508; lotion tonique fraîcheur à l'hamamélis [weleda] volume - 200 ml;http://www.lilibio.com/tonique/467-lotion-tonique-fraicheur-a-l-hamamelis.html;12.9;Terminez le démaquillage par une caresse avec ce tonique à l'eau florale d'Hamamélis qui reserre les pores. Tolérance cutanée testée sous contrôle dermatologique.;new;3596209532598;Weleda;;http://www.lilibio.com/img/p/467-587-large.jpg;Visage>Tonique et eau florale;in stock;2;:::5.9;;;y;Weleda;;0;;n;;;;;;
553-594;eau florale de fleur d'oranger  [melvita] volume - 200 ml;http://www.lilibio.com/tonique/553-eau-floral-de-fleur-d-oranger.html;9.9;Soin des peaux réactives et sensibles. Peut s'utiliser en tonique après le démaquillage ou en coup d'éclat le matin.;new;3284410016722;Melvita;;http://www.lilibio.com/img/p/553-683-large.jpg;Visage>Tonique et eau florale;in stock;3;:::5.9;;;y;Melvita;;0;;n;;;;;;
554-595; eau florale de bleuet en spray   [melvita] volume - 200 ml;http://www.lilibio.com/tonique/554-eau-floral-de-bleuet-spray.html;8.9;Soin des peaux délicates. Le bleuet possède des vertues paisante et décongestionnante. Idéal en compresse pour les yeux sensibles.;new;3284410016708;Melvita;;http://www.lilibio.com/img/p/554-684-large.jpg;Visage>Tonique et eau florale;in stock;3;:::5.9;;;y;Melvita;;0;;n;;;;;;
555-596; eau florale de camomille en spray   [melvita] volume - 200 ml;http://www.lilibio.com/tonique/555-eau-floral-de-camomille-spray.html;8.9;Soin des peaux sèches et sensibles. Les vertus apaisante et calmante de la camomille en font un tonique idéal pour les peaux intolérantes et sèches.;new;3284410016715;Melvita;;http://www.lilibio.com/img/p/555-685-large.jpg;Visage>Tonique et eau florale;in stock;1;:::5.9;;;y;Melvita;;0;;n;;;;;;
556-597; eau florale d'hamamélis en spray   [melvita] volume - 200 ml;http://www.lilibio.com/tonique/556-eau-floral-d-hamamelis-spray.html;8.9;Soin des peaux sensibles et mixtes. Cette eau florale est idéale en tonique astringent doux.;new;3284410016739;Melvita;;http://www.lilibio.com/img/p/556-686-large.jpg;Visage>Tonique et eau florale;in stock;4;:::5.9;;;y;Melvita;;0;;n;;;;;;
738-755; lotion apaisante apicosma   [melvita] volume - 200 ml;http://www.lilibio.com/tonique/738-lotion-apaisante-apicosma.html;9.9; Lotion sans parfum pour les peaux sensibles et délicates. Ses actifs apaisants et adoucissants, eau de fleurs d’oranger, miel, aloe vera et pollen, contribuent à atténuer et à apaiser les rougeurs et les irritations.;new;3284410014247;Melvita;;http://www.lilibio.com/img/p/738-886-large.jpg;Visage>Tonique et eau florale;in stock;1;:::5.9;;;y;Melvita;;0;;n;;;;;;
739-756; lotion hydratante apicosma   [melvita] volume - 200 ml;http://www.lilibio.com/tonique/739-lotion-hydratante-apicosma.html;9.9; Lotion hydratante des peaux sèches. Composée d’eau de rose, de miel, d’immortelle et de stévia, cette eau termine le démaquillage sans dessècher.;new;3284410014216;Melvita;;http://www.lilibio.com/img/p/739-887-large.jpg;Visage>Tonique et eau florale;in stock;3;:::5.9;;;y;Melvita;;0;;n;;;;;;
963-1044;eau thermal de jonzac en vaporisateur [jonzac] volume - 50 ml;http://www.lilibio.com/tonique/963-eau-thermal-de-jonzac-en-vaporisateur-jonzac-.html;2.9;Action apaisante, anti-irritante et régénérante, cette eau s'utilise à tous moments sur toutes les peaux, même les plus sensibles. Hypoallergènique, sans parfum et sans conservateurs.;new;3517360001761;Jonzac;;http://www.lilibio.com/img/p/963-1237-large.jpg;Visage>Tonique et eau florale;in stock;1;:::5.9;;;y;Jonzac;;0;;n;;;;;;
963-1045;eau thermal de jonzac en vaporisateur [jonzac] volume - 300 ml;http://www.lilibio.com/tonique/963-eau-thermal-de-jonzac-en-vaporisateur-jonzac-.html;6.9;Action apaisante, anti-irritante et régénérante, cette eau s'utilise à tous moments sur toutes les peaux, même les plus sensibles. Hypoallergènique, sans parfum et sans conservateurs.;new;3517360001778;Jonzac;;http://www.lilibio.com/img/p/963-1238-large.jpg;Visage>Tonique et eau florale;in stock;1;:::5.9;;;y;Jonzac;;0;;n;;;;;;
