categorie|identifiant_unique|titre|description|prix|URL_produit|URL_image|frais_de_port|disponibilite|delai_de_livraison|garantie|reference_modele|D3E|marque|EAN|prix_barre|devise|occasion|type_promotion|URL_mobile
Visage>Démaquillant|880-966| Lait démaquillant réhydratant   [Jonzac] Volume - 200 mL|Lait Démaquillant peaux désydratées et sensibles, à l'Eau Thermale Jonzac.|8.9|http://www.lilibio.com/demaquillant/880-lait-demaquillant-rehydratant.html|http://www.lilibio.com/img/p/880-1137-large.jpg|5.9|0|1 jour|0||0.00|Jonzac|3517360001457||EUR|0|0|
Visage>Démaquillant|883-971| Eau micellaire à l'Eau thermale de Jonzac   [Jonzac] Volume - 200 mL|Nettoie, démaquille et apaise les peaux les plus sensibles.|6.9|http://www.lilibio.com/demaquillant/883-eau-micellaire-a-l-eau-thermale-de-jonzac.html|http://www.lilibio.com/img/p/883-1142-large.jpg|5.9|0|1 jour|0||0.00|Jonzac|3517360001440||EUR|0|0|
Visage>Démaquillant|883-972| Eau micellaire à l'Eau thermale de Jonzac   [Jonzac] Volume - 400 mL|Nettoie, démaquille et apaise les peaux les plus sensibles.|10.5|http://www.lilibio.com/demaquillant/883-eau-micellaire-a-l-eau-thermale-de-jonzac.html|http://www.lilibio.com/img/p/883-1143-large.jpg|5.9|0|1 jour|0||0.00|Jonzac|3517360001990||EUR|0|0|
Visage>Démaquillant|921|Coffret découverte  [Weleda]|Weleda fête ses 90 ans et vous propose, en édition limitée, son coffret découverte. Découvrez 6 produits Best-sellers, en miniatures, de ce laboratoire pionnier en cosmétique biologique.|9.9|http://www.lilibio.com/demaquillant/921-coffret-decouverte-weleda-.html|http://www.lilibio.com/img/p/921-1187-large.jpg|5.9|0|1 jour|0||0.00|Weleda|3596202620742||EUR|0|0|
Visage>Tonique et eau florale|11-44| Lotion Virginale   [Les douces angevines] Volume - 125 mL|Une explosion de 4 eaux florales dynamisante et illuminatrice. Ce tonique vous apporte l'éclat d'une rose, la douceur de la camomille et de la fleur d'oranger. Idéale pour parfaire le démaquillage après fantomette.|20.9|http://www.lilibio.com/tonique/11-virginale.html|http://www.lilibio.com/img/p/11-51-large.jpg|5.9|0|1 jour|0||0.00|Les douces angevines|3555960000227||EUR|0|0|
Visage>Tonique et eau florale|41-74| Rosée florale   [Cattier] Volume - 200 mL|Pour un teint éclatant, une peau apaisée, fraîche et tonifiée…|10.5|http://www.lilibio.com/tonique/41-rosee-florale.html|http://www.lilibio.com/img/p/41-82-large.jpg|5.9|0|1 jour|0||0.00|Cattier|3283950911498||EUR|0|0|
Visage>Tonique et eau florale|166-219| Lotion tonique douceur Lift Argan   [Natessance] Volume - 200 mL|Idéale pour parfaire le démaquillage, tout en douceur...|10.9|http://www.lilibio.com/tonique/166-lotion-tonique-douceur-lift-argan.html|http://www.lilibio.com/img/p/166-265-large.jpg|5.9|0|1 jour|0||0.00|Natessance|3517360000184||EUR|0|0|
Visage>Tonique et eau florale|230-285| Lotion tonique douceur visage   [Florame] Volume - 200 mL|Doux avec votre peau, il illumine votre teint.|14.9|http://www.lilibio.com/tonique/230-lotion-tonique-douceur-visage.html|http://www.lilibio.com/img/p/230-333-large.jpg|5.9|0|1 jour|0||0.00|Florame|3516170016873||EUR|0|0|
Visage>Tonique et eau florale|467-508| Lotion tonique fraîcheur à l'hamamélis   [Weleda] Volume - 200 mL|Terminez le démaquillage par une caresse.|12.9|http://www.lilibio.com/tonique/467-lotion-tonique-fraicheur-a-l-hamamelis.html|http://www.lilibio.com/img/p/467-587-large.jpg|5.9|0|1 jour|0||0.00|Weleda|3596209532598||EUR|0|0|
Visage>Tonique et eau florale|553-594| Eau floral de fleur d'oranger   [Melvita] Volume - 200 mL|Soin des peaux réactives et sensibles. Peut s'utiliser en tonique après le démaquillage ou en coup d'éclat le matin.|9.9|http://www.lilibio.com/tonique/553-eau-floral-de-fleur-d-oranger.html|http://www.lilibio.com/img/p/553-683-large.jpg|5.9|0|1 jour|0||0.00|Melvita|3284410016722||EUR|0|0|
Visage>Tonique et eau florale|554-595| Eau floral de bleuet spray   [Melvita] Volume - 200 mL|Soin des peaux délicates. Le bleuet possède des vertues paisante et décongestionnante, idéale pour le démaquillage des yeux sensibles.|8.9|http://www.lilibio.com/tonique/554-eau-floral-de-bleuet-spray.html|http://www.lilibio.com/img/p/554-684-large.jpg|5.9|0|1 jour|0||0.00|Melvita|3284410016708||EUR|0|0|
Visage>Tonique et eau florale|555-596| Eau floral de camomille spray   [Melvita] Volume - 200 mL|Soin des peaux sèches et sensibles. Les vertues apaisante et calmante de la camomille en font un tonique idéal pour les peaux intolérantes.|8.9|http://www.lilibio.com/tonique/555-eau-floral-de-camomille-spray.html|http://www.lilibio.com/img/p/555-685-large.jpg|5.9|0|1 jour|0||0.00|Melvita|3284410016715||EUR|0|0|
Visage>Tonique et eau florale|556-597| Eau floral d'hamamélis spray   [Melvita] Volume - 200 mL|Soin des peaux sensibles et mixtes. Cette eau florale est idéale en tonique astringent doux.|8.9|http://www.lilibio.com/tonique/556-eau-floral-d-hamamelis-spray.html|http://www.lilibio.com/img/p/556-686-large.jpg|5.9|0|1 jour|0||0.00|Melvita|3284410016739||EUR|0|0|
Visage>Tonique et eau florale|558-599| Eau florale de lavande spray   [Melvita] Volume - 200 mL|Soin purifiant des peaux normales à grasses. Idéal en tonique matifiant et astringent sur la zone T|7.9|http://www.lilibio.com/tonique/558-eau-florale-de-lavande-spray.html|http://www.lilibio.com/img/p/558-688-large.jpg|5.9|0|1 jour|0||0.00|Melvita|3284410016746||EUR|0|0|
Visage>Tonique et eau florale|625-667| Lotion tonique matifiante   [Melvita] Volume - 200 mL| Lotion astringente et matifiante des peaux jeunes. Confère à la peau un toucher doux immédiatement. Ne déssèche pas la peau.|11.9|http://www.lilibio.com/tonique/625-lotion-tonique-matifiante.html|http://www.lilibio.com/img/p/625-767-large.jpg|5.9|0|1 jour|0||0.00|Melvita|3284410014537||EUR|0|0|
Visage>Tonique et eau florale|739-756| Lotion hydratante Apicosma   [Melvita] Volume - 200 mL| Lotion hydratante des peaux sèches. Composée d’eau de rose, de miel, d’immortelle et de stévia, cette eau parfait le démaquillage sans dessècher.|9.9|http://www.lilibio.com/tonique/739-lotion-hydratante-apicosma.html|http://www.lilibio.com/img/p/739-887-large.jpg|5.9|0|1 jour|0||0.00|Melvita|3284410014216||EUR|0|0|
