categorie;identifiant_unique;titre;description;prix;URL_produit;URL_image;frais_de_port;disponibilite;delai_de_livraison;garantie;reference_modele;D3E;marque;EAN;prix_barre;devise;occasion;type_promotion;URL_mobile
Visage>Démaquillant;663-690; Lait démaquillant confort   [Melvita] Volume - 400 mL; Confort intense pour toutes les peaux. L’action apaisante et adoucissante du miel et de l’amande douce conjuguée à celle de l’huile de périlla, en font un soin anti-allergisant et réparateur.;14.9;http://www.lilibio.com/demaquillant/663-lait-demaquillant.html;http://www.lilibio.com/img/p/663-808-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410014681;;EUR;0;0;
Visage>Démaquillant;664-691; Eau micellaire démaquillante   [Melvita] Volume - 200 mL; Démaquille en douceur toutes les types de peaux. Subltil mélange d'hydrolats de ciste, d'hamamélis et de rose. Sans parfum, sans alcool.;11.9;http://www.lilibio.com/demaquillant/664-eau-micellaire-demaquillante.html;http://www.lilibio.com/img/p/664-809-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410013080;;EUR;0;0;
Visage>Démaquillant;664-692; Eau micellaire démaquillante   [Melvita] Volume - 400 mL; Démaquille en douceur toutes les types de peaux. Subltil mélange d'hydrolats de ciste, d'hamamélis et de rose. Sans parfum, sans alcool.;15.9;http://www.lilibio.com/demaquillant/664-eau-micellaire-demaquillante.html;http://www.lilibio.com/img/p/664-810-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410013097;;EUR;0;0;
Visage>Démaquillant;667-694; Lotion démaquillante yeux sensibles   [Melvita] Volume - 100 mL;Lotion biphasique non grasse, démaquille tout et surtout tout en douceur. Le bleuet, la camomille et le lotus préserve les yeux sensibles. Formulée sans parfum et sans alcool.;12.9;http://www.lilibio.com/demaquillant/667-lotion-demaquillante-yeux-sensibles.html;http://www.lilibio.com/img/p/667-813-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410014186;;EUR;0;0;
Visage>Démaquillant;740-757; Lait démaquillant Apicosma   [Melvita] Volume - 200 mL;Soin démaquillant fondant pour les peaux sensibles, sans parfum. Les vertus apaisantes du bisabolol de candeia, du pollen et du néroli combinées aux vertus adoucissantes de l’huile d’amande douce, du miel.;12.9;http://www.lilibio.com/demaquillant/740-lait-demaquillant-apicosma.html;http://www.lilibio.com/img/p/740-888-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410014223;;EUR;0;0;
Visage>Démaquillant;741-758; Crème démaquillante Apicosma   [Melvita] Volume - 200 mL; Pour les peaux très sèches et fragilisées un maquillage d'une grande douceur est nécessaire. Cette crème démaquillante vous apporte tout le confort avec l'action adoucissante du karité, de l'argan,de la rose et du miel.;12.9;http://www.lilibio.com/demaquillant/741-creme-demaquillante-apicosma.html;http://www.lilibio.com/img/p/741-889-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410014193;;EUR;0;0;
Visage>Démaquillant;742-759; Gelée démaquillante Apicosma   [Melvita] Volume - 200 mL; Soin démaquillant des peaux normales à mixtes. Se rince à l'eau. L’action des eaux florales de verveine et de mélisse. du calcium et du manganèse pour éliminer en douceur impuretés et excès de sébum.;10.5;http://www.lilibio.com/demaquillant/742-gelee-demaquillante-apicosma.html;http://www.lilibio.com/img/p/742-890-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410014254;;EUR;0;0;
Visage>Démaquillant;880-966; Lait démaquillant réhydratant visage et yeux [Jonzac] Volume - 200 mL;Lait Démaquillant peaux désydratées et sensibles, à l'Eau Thermale Jonzac. Hypoallergénique et testé sous contrôle dermatologique.;8.9;http://www.lilibio.com/demaquillant/880-lait-demaquillant-rehydratant.html;http://www.lilibio.com/img/p/880-1137-large.jpg;5.9;0;1 jour;0;;0.00;Jonzac;3517360001457;;EUR;0;0;
Visage>Démaquillant;883-971; Eau micellaire démaquillante à l'Eau thermale de Jonzac   [Jonzac] Volume - 200 mL;Nettoie, démaquille et apaise les peaux les plus sensibles. Hypoallergénique.;6.9;http://www.lilibio.com/demaquillant/883-eau-micellaire-a-l-eau-thermale-de-jonzac.html;http://www.lilibio.com/img/p/883-1142-large.jpg;5.9;0;1 jour;0;;0.00;Jonzac;3517360001440;;EUR;0;0;
Visage>Démaquillant;883-972; Eau micellaire démaquillante à l'Eau thermale de Jonzac   [Jonzac] Volume - 400 mL;Nettoie, démaquille et apaise les peaux les plus sensibles. Hypoallergénique.;10.5;http://www.lilibio.com/demaquillant/883-eau-micellaire-a-l-eau-thermale-de-jonzac.html;http://www.lilibio.com/img/p/883-1143-large.jpg;5.9;0;1 jour;0;;0.00;Jonzac;3517360001990;;EUR;0;0;
Visage>Tonique et eau florale;11-44;Virginale Lotion vivifiante  [Les douces angevines] Volume - 125 mL;Une explosion de 4 eaux florales dynamisante et illuminatrice. Ce tonique vous apporte l'éclat d'une rose, la douceur de la camomille et de la fleur d'oranger. Idéale pour parfaire le démaquillage après fantomette.;20.9;http://www.lilibio.com/tonique/11-virginale.html;http://www.lilibio.com/img/p/11-51-large.jpg;5.9;0;1 jour;0;;0.00;Les douces angevines;3555960000227;;EUR;0;0;
Visage>Tonique et eau florale;41-74;Lotion de beauté apaisante Rosée florale   [Cattier] Volume - 200 mL;Pour un teint éclatant, une peau apaisée, fraîche et tonifiée… Une véritable caresse avec les eaux florales de rose et de camomille.;10.5;http://www.lilibio.com/tonique/41-rosee-florale.html;http://www.lilibio.com/img/p/41-82-large.jpg;5.9;0;1 jour;0;;0.00;Cattier;3283950911498;;EUR;0;0;
Visage>Tonique et eau florale;166-219; Lotion tonique douceur Lift Argan   [Natessance] Volume - 200 mL;Idéale pour parfaire le démaquillage, tout en douceur...;10.9;http://www.lilibio.com/tonique/166-lotion-tonique-douceur-lift-argan.html;http://www.lilibio.com/img/p/166-265-large.jpg;5.9;0;1 jour;0;;0.00;Natessance;3517360000184;;EUR;0;0;
Visage>Tonique et eau florale;230-285; Lotion tonique douceur Dermastress [Florame] Volume - 200 mL;Doux avec votre peau, il illumine votre teint et termine le démaquillage parfaitement.Le   complexe  derma-stress riche en huiles essentielles et végétales,   protège  nourrit et combat contre les agressions exterieures et les   signes de  l'âge.;14.9;http://www.lilibio.com/tonique/230-lotion-tonique-douceur-visage.html;http://www.lilibio.com/img/p/230-333-large.jpg;5.9;0;1 jour;0;;0.00;Florame;3516170016873;;EUR;0;0;
Visage>Tonique et eau florale;467-508; Lotion tonique fraîcheur à l'Hamamélis [Weleda] Volume - 200 mL;Terminez le démaquillage par une caresse avec ce tonique à l'eau florale d'Hamamélis qui reserre les pores. Tolérance cutanée testée sous contrôle dermatologique.;12.9;http://www.lilibio.com/tonique/467-lotion-tonique-fraicheur-a-l-hamamelis.html;http://www.lilibio.com/img/p/467-587-large.jpg;5.9;0;1 jour;0;;0.00;Weleda;3596209532598;;EUR;0;0;
Visage>Tonique et eau florale;553-594;Eau florale de Fleur d'oranger  [Melvita] Volume - 200 mL;Soin des peaux réactives et sensibles. Peut s'utiliser en tonique après le démaquillage ou en coup d'éclat le matin.;9.9;http://www.lilibio.com/tonique/553-eau-floral-de-fleur-d-oranger.html;http://www.lilibio.com/img/p/553-683-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410016722;;EUR;0;0;
Visage>Tonique et eau florale;554-595; Eau florale de Bleuet en spray   [Melvita] Volume - 200 mL;Soin des peaux délicates. Le bleuet possède des vertues paisante et décongestionnante. Idéal en compresse pour les yeux sensibles.;8.9;http://www.lilibio.com/tonique/554-eau-floral-de-bleuet-spray.html;http://www.lilibio.com/img/p/554-684-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410016708;;EUR;0;0;
Visage>Tonique et eau florale;555-596; Eau florale de Camomille en spray   [Melvita] Volume - 200 mL;Soin des peaux sèches et sensibles. Les vertus apaisante et calmante de la camomille en font un tonique idéal pour les peaux intolérantes et sèches.;8.9;http://www.lilibio.com/tonique/555-eau-floral-de-camomille-spray.html;http://www.lilibio.com/img/p/555-685-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410016715;;EUR;0;0;
Visage>Tonique et eau florale;556-597; Eau florale d'Hamamélis en spray   [Melvita] Volume - 200 mL;Soin des peaux sensibles et mixtes. Cette eau florale est idéale en tonique astringent doux.;8.9;http://www.lilibio.com/tonique/556-eau-floral-d-hamamelis-spray.html;http://www.lilibio.com/img/p/556-686-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410016739;;EUR;0;0;
Visage>Tonique et eau florale;558-599; Eau florale de Lavande en spray   [Melvita] Volume - 200 mL;Soin purifiant des peaux normales à grasses. Idéal en tonique matifiant et astringent sur la zone T.;7.9;http://www.lilibio.com/tonique/558-eau-florale-de-lavande-spray.html;http://www.lilibio.com/img/p/558-688-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410016746;;EUR;0;0;
Visage>Tonique et eau florale;738-755; Lotion apaisante Apicosma   [Melvita] Volume - 200 mL; Lotion sans parfum pour les peaux sensibles et délicates. Ses actifs apaisants et adoucissants, eau de fleurs d’oranger, miel, aloe vera et pollen, contribuent à atténuer et à apaiser les rougeurs et les irritations.;9.9;http://www.lilibio.com/tonique/738-lotion-apaisante-apicosma.html;http://www.lilibio.com/img/p/738-886-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410014247;;EUR;0;0;
Visage>Tonique et eau florale;739-756; Lotion hydratante Apicosma   [Melvita] Volume - 200 mL; Lotion hydratante des peaux sèches. Composée d’eau de rose, de miel, d’immortelle et de stévia, cette eau termine le démaquillage sans dessècher.;9.9;http://www.lilibio.com/tonique/739-lotion-hydratante-apicosma.html;http://www.lilibio.com/img/p/739-887-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410014216;;EUR;0;0;
Visage>Tonique et eau florale;963-1044;Eau thermal de Jonzac en vaporisateur [Jonzac] Volume - 50 mL;Action apaisante, anti-irritante et régénérante, cette eau s'utilise à tous moments sur toutes les peaux, même les plus sensibles. Hypoallergènique, sans parfum et sans conservateurs.;2.9;http://www.lilibio.com/tonique/963-eau-thermal-de-jonzac-en-vaporisateur-jonzac-.html;http://www.lilibio.com/img/p/963-1237-large.jpg;5.9;0;1 jour;0;;0.00;Jonzac;3517360001761;;EUR;0;0;
Visage>Tonique et eau florale;963-1045;Eau thermal de Jonzac en vaporisateur [Jonzac] Volume - 300 mL;Action apaisante, anti-irritante et régénérante, cette eau s'utilise à tous moments sur toutes les peaux, même les plus sensibles. Hypoallergènique, sans parfum et sans conservateurs.;6.9;http://www.lilibio.com/tonique/963-eau-thermal-de-jonzac-en-vaporisateur-jonzac-.html;http://www.lilibio.com/img/p/963-1238-large.jpg;5.9;0;1 jour;0;;0.00;Jonzac;3517360001778;;EUR;0;0;
Visage>Nettoyant;42-75; Mousse nettoyante Nuage céleste   [Cattier] Volume - 150 mL;Une mousse douce et aérienne pour un nettoyage en profondeur… Toute la douceur des eaux florales de rose et de bleuet.;9.9;http://www.lilibio.com/nettoyant/42-nuage-celeste.html;http://www.lilibio.com/img/p/42-86-large.jpg;5.9;0;1 jour;0;;0.00;Cattier;3283950911511;;EUR;0;0;
Visage>Nettoyant;229-284; Huile moussante douceur visage Dermastress [Florame] Volume - 150 mL;Nettoie tout en preservant votre peau du vieillissement accéléré.   Le   complexe derma-stress riche en huiles essentielles et végétales,   protège nourrit et combat contre les agressions exterieures et les   signes de l'âge.;15.9;http://www.lilibio.com/nettoyant/229-huile-moussante-douceur-visage.html;http://www.lilibio.com/img/p/229-332-large.jpg;5.9;0;1 jour;0;;0.00;Florame;3516170016866;;EUR;0;0;
Visage>Nettoyant;428-470; Mousse pureté   [Plante system] Volume - 150 mL;La mousse pureté visage et yeux adoucit votre épiderme et équilibre votre peau efficacement tout en la nettoyant. Ce soin quotidien sans savon est aux extraits de babassu et huiles essentielles de verveine et orange.;10.9;http://www.lilibio.com/nettoyant/428-mousse-purete.html;http://www.lilibio.com/img/p/428-548-large.jpg;5.9;0;1 jour;0;;0.00;Plante system;3578830149468;;EUR;0;0;
Visage>Nettoyant;435-478; Lait nettoyant à l'Amande [Weleda] Volume - 75 mL;Ce Lait nettoyant Visage à l'Amande de WELEDA, sans huiles essentielles,  élimine les impuretés et le maquillage tout en respectant l’épiderme  fragile des peaux sensibles ou réactives.;6.8;http://www.lilibio.com/nettoyant/435-lait-nettoyant-a-l-amande.html;http://www.lilibio.com/img/p/435-555-large.jpg;5.9;0;1 jour;0;;0.00;Weleda;3596209532635;;EUR;0;0;
Visage>Nettoyant;643-685; Gel nettoyant visage   [Marilou bio] Volume - 75 mL;Une peau propre en un seul geste. Formulé à base d'eau florale de bleuet pour son action apaisante et decongestionnante.;3.9;http://www.lilibio.com/nettoyant/643-gel-nettoyant-visage.html;http://www.lilibio.com/img/p/643-785-large.jpg;5.9;0;1 jour;0;;0.00;Marilou bio;3760143830618;;EUR;0;0;
Visage>Nettoyant;665-693; Mousse nettoyante anti-pollution  [Melvita] Volume - 50 mL; Complexe anti-pollution inédit pour cette mousse nettoyante. Du cassis pour protéger et de l'anis pour purifier.;11.9;http://www.lilibio.com/nettoyant/665-mousse-nettoyante.html;http://www.lilibio.com/img/p/665-811-large.jpg;5.9;0;1 jour;0;;0.00;Melvita;3284410014179;;EUR;0;0;
Visage>Nettoyant;884-973; Gel dermo-nettoyant visage à l'Eau thermale de Jonzac   [Jonzac] Volume - 200 mL;Nettoie et élimine les impuretés. Adapté aux peaux les plus sensibles, normales à mixtes. Hypoallergénique et sans savon.;7.9;http://www.lilibio.com/nettoyant/884-gel-dermo-nettoyant-a-l-eau-thermale-de-jonzac.html;http://www.lilibio.com/img/p/884-1144-large.jpg;5.9;0;1 jour;0;;0.00;Jonzac;3517360001464;;EUR;0;0;
Visage>Soin hydratant;43-76;Crème de jour Elixir végétal   [Cattier] Volume - 50 mL;Véritable soin douceur des peaux normales à mixtes, la crème Elixir Végétal purifie et nourrit votre peau.;17.9;http://www.lilibio.com/creme-hydratante/43-elixir-vegetal.html;http://www.lilibio.com/img/p/43-83-large.jpg;5.9;0;1 jour;0;;0.00;Cattier;3283950911450;;EUR;0;0;
Visage>Soin hydratant;44-77; Crème de jour hydratante Secret botanique   [Cattier] Volume - 50 mL;Véritable soin douceur des peaux sèches et sensibles, la crème Secret Botanique, protège et nourrit votre peau. Sans parfun elle est adaptée aux peaux réactives et alléregiques.;20.9;http://www.lilibio.com/creme-hydratante/44-secret-botanique.html;http://www.lilibio.com/img/p/44-111-large.jpg;5.9;0;1 jour;0;;0.00;Cattier;3283950911467;;EUR;0;0;
Visage>Soin hydratant;175-228; Fluide énergisant Bioéclat   [Natessance] Volume - 50 mL;Véritable booster de luminosité grâce à l'action énergisante et pétillante des fruits d'été.;18.9;http://www.lilibio.com/creme-hydratante/175-fluide-energissant-bioeclat.html;http://www.lilibio.com/img/p/175-274-large.jpg;5.9;0;1 jour;0;;0.00;Natessance;3517360052558;;EUR;0;0;
