product_url;designation;price;category;image_url;description;merchand_id;manufacturer_id;shipping_cost;in_stock;stock_detail;condition;upc_ean;product_type;ISBN;brand
http://www.lilibio.com/demaquillant/742-gelee-demaquillante-apicosma.html;Gelée démaquillante Apicosma Volume - 200 mL;10.5;Visage>Démaquillant;http://www.lilibio.com/img/p/742-890-large.jpg; Verveine, mélisse, orange -                         Rinçage à l'eau - Pour les peaux normales à mixtes.;742-759;;5.9;Y;5;0;3284410014254;1;;
http://www.lilibio.com/demaquillant/880-lait-demaquillant-rehydratant.html;Lait démaquillant réhydratant à l'Eau thermale de Jonzac Volume - 200 mL;8.9;Visage>Démaquillant;http://www.lilibio.com/img/p/880-1137-large.jpg;Lait Démaquillant peaux désydratées et sensibles, à l'Eau Thermale Jonzac.;880-966;;5.9;Y;4;0;3517360001457;1;;
http://www.lilibio.com/demaquillant/883-eau-micellaire-a-l-eau-thermale-de-jonzac.html;Eau micellaire à l'Eau thermale de Jonzac Volume - 200 mL;6.9;Visage>Démaquillant;http://www.lilibio.com/img/p/883-1142-large.jpg;Nettoie, démaquille et apaise les peaux les plus sensibles.;883-971;;5.9;Y;4;0;3517360001440;1;;
http://www.lilibio.com/demaquillant/883-eau-micellaire-a-l-eau-thermale-de-jonzac.html;Eau micellaire à l'Eau thermale de Jonzac Volume - 400 mL;10.5;Visage>Démaquillant;http://www.lilibio.com/img/p/883-1143-large.jpg;Nettoie, démaquille et apaise les peaux les plus sensibles.;883-972;;5.9;Y;4;0;3517360001990;1;;
http://www.lilibio.com/tonique/11-virginale.html;Lotion Virginale Volume - 125 mL;20.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/11-51-large.jpg;Lotion tonique vivifiante aux 4 fleurs.;11-44;;5.9;Y;3;0;;1;;
http://www.lilibio.com/tonique/41-rosee-florale.html;Rosée florale Volume - 200 mL;9.3;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/41-82-large.jpg;Pour un teint éclatant, une peau apaisée, fraîche et tonifiée…;41-74;;5.9;Y;6;0;;1;;
http://www.lilibio.com/tonique/230-lotion-tonique-douceur-visage.html;Lotion tonique douceur visage Dermastress Volume - 200 mL;14.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/230-333-large.jpg;Doux avec votre peau, il illumine votre teint.;230-285;;5.9;Y;7;0;3516170016873;1;;
http://www.lilibio.com/tonique/467-lotion-tonique-fraicheur-a-l-hamamelis.html;Lotion tonique fraîcheur à l'hamamélis Volume - 200 mL;12.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/467-587-large.jpg;Terminez le démaquillage par une caresse.;467-508;;5.9;Y;4;0;3596209532598;1;;
http://www.lilibio.com/tonique/553-eau-floral-de-fleur-d-oranger.html;Eau floral de fleur d'Oranger spray Volume - 200 mL;9.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/553-683-large.jpg;Pour les peaux réactives.;553-594;;5.9;Y;2;0;3284410016722;1;;
http://www.lilibio.com/tonique/554-eau-floral-de-bleuet-spray.html;Eau florale de Bleuet spray Volume - 200 mL;8.9;Visage>Tonique et eau florale;http://www.lilibio.com/img/p/554-684-large.jpg;Apaisante et décongestionnante.;554-595;;5.9;Y;6;0;3284410016708;1;;
